City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,saint-francois,46.4154,3.9054,4.12,88,100,3.6,FR,1732088711
118,utrik,11.2278,169.8474,28.11,74,100,5.58,MH,1732088711
119,roccella ionica,38.322,16.4009,19.35,68,20,5.28,IT,1732088711
120,timmins,48.4669,-81.3331,2.9,100,100,3.09,CA,1732088711
121,kapa'a,22.0752,-159.319,23.99,95,100,6.17,US,1732088555
122,hirara,24.8,125.2833,24.92,88,75,6.17,JP,1732088711
123,puerto armuelles,8.2833,-82.8667,24.49,88,100,3.58,PA,1732088711
124,kibre mengist,5.8833,38.9833,22.48,62,74,2.61,ET,1732088712
125,mount isa,-20.7333,139.5,32.87,38,75,3.6,AU,1732088712
126,porto-vecchio,41.591,9.2795,20.74,77,75,14.4,FR,1732088712
127,nyagan,62.1406,65.3936,-1.46,94,100,3.18,RU,1732088712
128,ribeira grande,38.5167,-28.7,19.32,82,20,3.6,PT,1732088712
129,yilan,24.757,121.753,21.7,96,100,1.96,TW,1732088712
130,inhambane,-23.865,35.3833,29.99,66,75,5.14,MZ,1732088712
131,lagunillas,10.1301,-71.2595,24.85,89,100,2.75,VE,1732088712
132,kristiansund,63.1115,7.732,-0.64,93,100,4.12,NO,1732088712
133,klyuchi,52.2667,79.1667,0.52,84,4,3.32,RU,1732088713
134,miles city,46.4083,-105.8406,-2.46,59,0,9.26,US,1732088713
135,kalaswala,32.2009,74.6491,22.8,16,0,2.46,PK,1732088713
136,nalut,30.3333,10.85,20.42,22,100,3.69,LY,1732088713
137,abepura,-2.6333,140.5833,30.45,70,20,2.57,ID,1732088713
138,kokoda,-8.8785,147.7407,25.32,98,100,1.43,PG,1732088713
139,rikaze,29.25,88.8833,7.37,11,6,1.52,CN,1732088713
140,keflavik,64.0049,-22.5624,-3.76,63,75,9.26,IS,1732088713
141,east london,-33.0153,27.9116,22.52,94,100,4.63,ZA,1732088471
142,west island,-12.1568,96.8225,25.99,94,75,7.72,CC,1732088713
143,ribeira brava,32.65,-17.0667,21.51,64,99,4.33,PT,1732088714
144,khanty-mansiysk,61.0042,69.0019,1.06,86,20,3.0,RU,1732088714
145,arraial do cabo,-22.9661,-42.0278,22.44,92,20,2.83,BR,1732088714
146,quang ngai,15.1167,108.8,26.52,80,57,4.95,VN,1732088714
147,swakopmund,-22.6833,14.5333,18.32,86,43,0.89,NA,1732088714
148,lihue,21.9789,-159.3672,23.58,93,100,5.66,US,1732088714
149,rawson,-43.3002,-65.1023,19.16,42,0,8.75,AR,1732088714
150,lebu,-37.6167,-73.65,8.81,95,16,2.52,CL,1732088714
151,znamenskoye,57.1281,73.8282,-1.39,90,74,2.29,RU,1732088714
152,dudinka,69.4058,86.1778,-16.28,97,100,3.67,RU,1732088715
153,nueva gerona,21.8833,-82.8,23.9,80,59,2.03,CU,1732088715
154,chernyshevskiy,63.0128,112.4714,-23.59,100,27,1.19,RU,1732088715
155,babu,24.4167,111.5167,19.63,54,53,2.06,CN,1732088715
156,ancud,-41.8697,-73.8203,9.8,90,100,3.43,CL,1732088715
157,flying fish cove,-10.4217,105.6791,27.88,78,100,1.59,CX,1732088715
